               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.040783,            0.037334,           0.0060795,             0.83456,             0.82087,             0.87177,             0.41614,            0.039768,             0.02818,           0.0064746,           0.0038434,           0.0038434,           0.0038434
                  64,            0.040804,            0.037494,           0.0062002,             0.82728,              0.8328,             0.87797,              0.4112,            0.039959,            0.028369,            0.006346,           0.0037128,           0.0037128,           0.0037128
                  65,             0.04124,            0.037762,           0.0060861,             0.86452,             0.79503,             0.86954,             0.41085,            0.039967,            0.028498,           0.0062723,            0.003584,            0.003584,            0.003584
                  66,            0.040652,            0.037188,           0.0060143,             0.83664,             0.82052,               0.871,              0.4109,            0.039918,            0.028193,            0.006326,            0.003457,            0.003457,            0.003457
                  67,             0.04083,            0.036523,           0.0060375,              0.8895,             0.78844,             0.87611,             0.42033,            0.039494,            0.028147,           0.0059445,           0.0033321,           0.0033321,           0.0033321
                  68,            0.040625,            0.037382,           0.0060235,             0.87416,             0.79408,             0.87284,             0.41405,            0.039995,            0.028214,           0.0062745,           0.0032093,           0.0032093,           0.0032093
                  69,            0.040522,            0.036857,           0.0059375,             0.91074,             0.78716,             0.88177,             0.41625,            0.039672,            0.028251,           0.0061509,           0.0030888,           0.0030888,           0.0030888
                  70,            0.040379,            0.036958,           0.0060388,             0.86772,             0.81101,             0.87866,             0.42017,             0.03984,             0.02814,           0.0066643,           0.0029706,           0.0029706,           0.0029706
                  71,            0.040262,            0.037211,           0.0059168,             0.86582,             0.81057,             0.88155,             0.41911,            0.039755,            0.028121,            0.006716,            0.002855,            0.002855,            0.002855
                  72,            0.040399,            0.037451,           0.0056971,             0.87278,             0.81449,             0.88005,             0.41633,            0.039553,              0.0281,           0.0063188,           0.0027419,           0.0027419,           0.0027419
                  73,             0.04062,            0.037199,           0.0059619,             0.84889,             0.80785,             0.87308,             0.41374,            0.039784,            0.028077,           0.0066327,           0.0026316,           0.0026316,           0.0026316
                  74,            0.040607,            0.037841,           0.0058984,             0.85454,             0.82877,             0.88317,              0.4235,            0.039341,            0.028022,           0.0059125,           0.0025241,           0.0025241,           0.0025241
                  75,            0.040074,            0.036837,            0.005622,              0.8731,             0.80552,               0.876,             0.41499,            0.039559,            0.027872,           0.0065575,           0.0024195,           0.0024195,           0.0024195
